LocationID,Borough,Zone,lat,lon
159,Bronx,Melrose South,237997.3776063662,1008205.0918234971
160,Queens,Middle Village,201375.1815111295,1016688.9973485316
161,Manhattan,Midtown Center,215347.28561802837,990525.0789292302
162,Manhattan,Midtown East,214897.47983152585,991834.1828166791
163,Manhattan,Midtown North,218191.8433108804,990134.5332421884
164,Manhattan,Midtown South,211987.41446901057,988476.0686454264
165,Brooklyn,Midwood,165786.91100351998,995848.0069148322
166,Manhattan,Morningside Heights,234628.5342427974,994322.7810378408
167,Bronx,Morrisania/Melrose,240104.99485267265,1010536.2830734408
168,Bronx,Mott Haven/Port Morris,232302.86744616134,1008593.2962896026
169,Bronx,Mount Hope,248294.7630337819,1010157.1057525515
170,Manhattan,Murray Hill,211601.82829116206,990261.814676815
171,Queens,Murray Hill-Queens,219157.12962530283,1037549.1089834657
172,Staten Island,New Dorp/Midland Beach,146558.535239568,955182.1519770965
173,Queens,North Corona,214075.00544950226,1022633.5646061999
174,Bronx,Norwood,259421.0389161155,1016877.1407850538
175,Queens,Oakland Gardens,210301.72801963578,1052067.682859264
176,Staten Island,Oakwood,144982.36970307722,950531.3319832016
177,Brooklyn,Ocean Hill,185962.95077613267,1008650.9284670593
178,Brooklyn,Ocean Parkway South,164376.01744298098,992161.0474051695
179,Queens,Old Astoria,220688.93852688203,1003604.5218117707
180,Queens,Ozone Park,185709.8290405662,1026265.1436917478
181,Brooklyn,Park Slope,183647.71837427942,989611.9536004554
182,Bronx,Parkchester,244285.07984901418,1023367.528245604
183,Bronx,Pelham Bay,248770.51805103902,1030976.6602866426
184,Bronx,Pelham Bay Park,253480.0414828418,1040525.3535577238
185,Bronx,Pelham Parkway,250581.81391483475,1024928.2753766071
186,Manhattan,Penn Station/Madison Sq West,212006.40053240707,986466.8436096311
187,Staten Island,Port Richmond,169817.7924672903,946465.6547683725
188,Brooklyn,Prospect-Lefferts Gardens,179278.3714820992,998652.1947801736
189,Brooklyn,Prospect Heights,185821.18144228798,993089.7602643805
190,Brooklyn,Prospect Park,180120.04913451464,991860.3720536188
191,Queens,Queens Village,200578.41200866678,1055651.332711438
192,Queens,Queensboro Hill,210412.90210880502,1035609.3886047729
193,Queens,Queensbridge/Ravenswood,217170.33233217004,1001122.326885421
194,Manhattan,Randalls Island,227770.1929152068,1004812.7130928918
195,Brooklyn,Red Hook,184995.90767919732,980635.1762718923
196,Queens,Rego Park,203869.3893396628,1021956.9608595885
197,Queens,Richmond Hill,192707.01491425082,1031641.6159597511
198,Queens,Ridgewood,197001.41878055956,1010819.5201231095
199,Bronx,Rikers Island,228389.04368580657,1017287.9838281141
200,Bronx,Riverdale/North Riverdale/Fieldston,266802.77523388434,1009632.6781015256
201,Queens,Rockaway Park,150173.70276515494,1029182.539969797
202,Manhattan,Roosevelt Island,216811.5034196304,998042.7518241769
203,Queens,Rosedale,174039.18512890566,1055036.7105747
204,Staten Island,Rossville/Woodrow,136054.5019270861,926202.0856758599
205,Queens,Saint Albans,191797.78541476763,1049619.6685740114
206,Staten Island,Saint George/New Brighton,172665.18909080647,956513.5573353685
207,Queens,Saint Michaels Cemetery/Woodside,217553.5583402432,1012601.6492702378
208,Bronx,Schuylerville/Edgewater Park,238137.85781088457,1035495.8091532768
209,Manhattan,Seaport,197319.4596917109,983621.6141232789
210,Brooklyn,Sheepshead Bay,154238.5207532261,1003653.6050180407
211,Manhattan,SoHo,202871.2320801952,983642.8236659181
212,Bronx,Soundview/Bruckner,240955.4075133282,1020734.761257524
213,Bronx,Soundview/Castle Hill,236366.68348993457,1025668.9103122223
214,Staten Island,South Beach/Dongan Hills,152026.07110213363,962224.9491824653
215,Queens,South Jamaica,192458.6535761385,1041908.7634394208
216,Queens,South Ozone Park,185788.0858022307,1034973.9184954062
217,Brooklyn,South Williamsburg,195786.19224784244,995884.61838083
218,Queens,Springfield Gardens North,184525.22665547478,1047284.5116465074
219,Queens,Springfield Gardens South,180530.7169032643,1047949.0028088214
220,Bronx,Spuyten Duyvil/Kingsbridge,260734.16244033186,1008570.1900918015
221,Staten Island,Stapleton,165334.3877779349,964208.7767214082
222,Brooklyn,Starrett City,174206.82274008854,1016405.3669035775
223,Queens,Steinway,224226.38107432393,1013134.8683998933
224,Manhattan,Stuy Town/Peter Cooper Village,205827.1655643518,991365.838471709
225,Brooklyn,Stuyvesant Heights,190209.8123800183,1003532.835882502
226,Queens,Sunnyside,204151.0639710386,1004805.8277485059
227,Brooklyn,Sunset Park East,172355.434868045,982345.1286155933
228,Brooklyn,Sunset Park West,178085.27657636613,980934.6228491759
229,Manhattan,Sutton Place/Turtle Bay North,214631.34510113223,994145.093204472
230,Manhattan,Times Sq/Theatre District,216022.34462572774,988595.7282512127
231,Manhattan,TriBeCa/Civic Center,201172.38661472828,981511.2319378924
232,Manhattan,Two Bridges/Seward Park,199258.52872416534,988975.4378312328
233,Manhattan,UN/Turtle Bay South,211174.98705544148,992683.4645248164
234,Manhattan,Union Sq,208627.2135468837,986984.9054734573
235,Bronx,University Heights/Morris Heights,250471.8254859843,1007167.1337256777
236,Manhattan,Upper East Side North,223550.620289865,996120.3714056878
237,Manhattan,Upper East Side South,219247.93651767712,993760.3409943426
238,Manhattan,Upper West Side North,227966.2210999392,991430.9492469534
239,Manhattan,Upper West Side South,225197.86750656055,988910.6340794336
240,Bronx,Van Cortlandt Park,263843.7165300363,1017681.6490267493
241,Bronx,Van Cortlandt Village,258205.80904423128,1013019.113515641
242,Bronx,Van Nest/Morris Park,248450.1902164935,1025962.3404769298
243,Manhattan,Washington Heights North,251647.9409963662,1001533.6275944236
244,Manhattan,Washington Heights South,246355.49974853217,999950.2862182038
245,Staten Island,West Brighton,169674.57675696976,955439.9403594335
246,Manhattan,West Chelsea/Hudson Yards,212560.20304004257,982002.6137518395
247,Bronx,West Concourse,241762.8557395587,1005260.829279366
248,Bronx,West Farms/Bronx River,243465.20770825486,1019210.3117582855
249,Manhattan,West Village,206623.64229244986,983396.0438763397
250,Bronx,Westchester Village/Unionport,243289.52411717232,1027152.4557810662
251,Staten Island,Westerleigh,163910.51554164558,949248.3015361779
252,Queens,Whitestone,229006.69525579302,1035477.040710186
253,Queens,Willets Point,216949.76701612448,1027963.5777479403
254,Bronx,Williamsbridge/Olinville,260788.82290770166,1023224.2134576621
255,Brooklyn,Williamsburg (North Side),201467.3204141247,994874.3629527295
256,Brooklyn,Williamsburg (South Side),198218.97136276052,994524.3183960514
257,Brooklyn,Windsor Terrace,178288.08646881217,990235.9048641203
258,Queens,Woodhaven,189835.90257639543,1024537.5903184161
259,Bronx,Woodlawn/Wakefield,267245.4460714464,1024712.4201606078
260,Queens,Woodside,211238.40449742042,1010321.7967575595
261,Manhattan,World Trade Center,197021.91947724903,980373.1572665374
262,Manhattan,Yorkville East,222860.48526319422,999901.0144261839
263,Manhattan,Yorkville West,223098.71672884095,998042.5582173243
